name,    designation,    rho,    P_target,    P_1comp,    P_1compv,    N_sample
Kepler-440,Gaia DR3 2103871317426712448,0.6401773466099975,[0.59930753],[1.59931241e-01 3.16582660e-13],[3.04153627e-01 3.41961386e-48],600
Kepler-336,Gaia DR3 2101792175301394048,1.4906400416935632,[0.96063809],[2.20353871e-01 3.26102347e-25],[3.51372226e-01 7.17155396e-64],600
Kepler-1590,Gaia DR3 2129295049918456960,0.11506148709477398,[9.94204041e-05],[2.30537785e-01 1.54927160e-27],[3.31995196e-01 3.36744863e-56],600
Kepler-110,Gaia DR3 2128925579652377472,1.5873703215037411,[0.94242109],[2.22455438e-01 1.61188422e-25],[3.32514878e-01 8.99045320e-57],600
WASP-161,Gaia DR3 5751177095877066496,3.829010190044605,[0.9816877],[1.99316902e-01 1.33569747e-20],[3.40934632e-01 4.70652250e-60],600
WASP-80,Gaia DR3 4223507222112425344,0.7028884180613786,[0.44356628],[1.81091439e-01 5.68033837e-17],[3.27306029e-01 4.51163920e-55],600
Kepler-181,Gaia DR3 2135292507890372224,0.077906978806354,[4.20622656e-05],[2.01545679e-01 5.49055408e-21],[3.25858398e-01 3.81511841e-55],600
Kepler-1634,Gaia DR3 2127953233416258432,1.7631086813060908,[0.97348525],[2.05486838e-01 7.02799484e-22],[3.44685038e-01 5.50118052e-61],600
WASP-2,Gaia DR3 1748596020745038208,0.8995102569923329,[0.61552718],[1.92767531e-01 3.99786646e-19],[3.14337499e-01 1.97161745e-51],600
HD 45184,Gaia DR3 2898239468873596800,2.3373595773107607,[0.93874153],[1.50716610e-01 7.55773184e-12],[3.09390835e-01 2.22878604e-49],600
TOI-1278,Gaia DR3 1867491607542113536,0.3081951843659983,[0.23717703],[1.69074786e-01 4.34664932e-15],[3.20985060e-01 6.24226066e-53],600
HATS-63,Gaia DR3 4891362198412001408,0.20217314726607932,[0.00323775],[2.37309839e-01 1.05455177e-25],[3.46395247e-01 1.56857316e-54],530
Kepler-511,Gaia DR3 2107644188496163200,0.009368893116044818,[4.8817894e-14],[2.34055790e-01 3.46353608e-28],[3.40842822e-01 8.18615015e-60],600
Kepler-569,Gaia DR3 2131729780976557952,0.9902163603285274,[0.83158511],[2.35057672e-01 1.98870780e-28],[3.29043167e-01 4.69957230e-56],600
LHS 3844,Gaia DR3 6385548541499112448,0.1696462329476138,[0.02032494],[1.51890979e-01 3.14534581e-12],[3.36530685e-01 1.39189605e-58],600
TOI-444,Gaia DR3 4895489043507741440,1.1458076080613746,[0.87035302],[1.17252821e-01 2.47779761e-07],[3.20996488e-01 7.64155567e-53],600
K2-90,Gaia DR3 65331198513957376,0.7580359157591327,[0.82899788],[1.17842107e-01 3.78885251e-07],[3.10688542e-01 1.52947975e-49],600
HIP 74890,Gaia DR3 6004107513791584512,0.7585795504797891,[0.68908574],[1.47397893e-01 2.96631207e-11],[3.11282098e-01 9.82795774e-50],600
TOI-4551,Gaia DR3 3476605537386300032,0.4929104296507734,[0.27157726],[1.98849115e-01 1.95131767e-20],[3.45574784e-01 2.04994104e-61],600
TOI-833,Gaia DR3 5250780970316845696,10.749747682016164,[0.98501392],[1.58431274e-01 6.39992292e-13],[3.15879678e-01 1.67846731e-51],600
WASP-192,Gaia DR3 6198312362812872320,1.9369337534594622,[0.9728958],[1.95637147e-01 9.32852620e-20],[3.20253813e-01 8.88825905e-53],600
BD+15 2375,Gaia DR3 3924009634910406912,0.43738120119793095,[0.17266832],[2.84967606e-01 1.15596320e-16],[3.46774460e-01 6.81743398e-25],238
42 Dra,Gaia DR3 2256800156349110528,0.018084885538360802,[1.9645714e-06],[1.70924039e-01 4.17414460e-15],[3.27899260e-01 7.52442995e-56],600
HD 109286,Gaia DR3 3902370696320119296,6.059104404536798,[0.97257689],[1.67988852e-01 1.18433399e-14],[3.29804652e-01 7.80128543e-56],600
K2-162,Gaia DR3 3694878833385971840,0.3794942689346972,[0.0795807],[1.88945252e-01 1.64401141e-18],[3.20898862e-01 4.37517781e-53],600
K2-247,Gaia DR3 3578596339057980160,2.367248787232879,[0.97937901],[2.14731181e-01 1.81796913e-23],[3.24404793e-01 2.30000276e-54],600
